Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-05-16,2395.07,2420.2,2344.82,2354.87,1274.0398062226
2012-05-17,2355.3,2411.4,2355.3,2365.75,436.44688575889
2012-05-18,2365.75,2399.25,2365.75,2399.25,41.719187609306
2012-05-21,2394.67,2596.05,2394.67,2491.37,371.1937974469
2012-05-22,2487.18,2512.33,2461.22,2512.33,224.64177943472
2012-05-23,2554.17,2554.17,2470.44,2512.33,845.08097977824
2012-05-24,2470.86,2495.57,2470.86,2481.33,51.346692442222
2012-05-25,2471.7,2479.23,2428.56,2441.12,240.68762082292
2012-05-28,2441.12,2457.88,2428.99,2457.88,157.24924560431
2012-05-29,2437.78,2457.46,2428.56,2457.46,247.10595737819
2012-05-30,2428.56,2447.83,2403.44,2428.56,1310.4103800359
2012-05-31,2366.19,2428.56,2366.19,2428.56,147.62174077139
2012-06-01,2382.91,2428.56,2382.91,2428.56,473.88718233134
2012-06-04,2366.19,2418.53,2366.19,2379.99,11.766950351343
2012-06-05,2379.99,2393.81,2345.65,2346.51,149.76118628981
2012-06-06,2350.25,2350.25,2350.25,2350.25,2.1394455184259
2012-06-08,2351.52,2411.82,2350.25,2387.11,2699.9802442535
2012-06-11,2386.7,2596.05,2386.7,2596.05,411.84326229699
2012-06-12,2596.05,2741.76,2529.06,2691.53,1419.5221014756
2012-06-13,2721.68,2759.36,2671.42,2671.42,137.99423593847
2012-06-14,2663.05,2751.81,2655.5,2680.22,27.812791739537
2012-06-15,2680.22,2755.17,2597.73,2597.73,394.72769814958
2012-06-18,2709.1,2709.1,2622.01,2622.01,14.976118628981
2012-06-19,2638.34,2679.79,2637.91,2679.79,151.90063180824
2012-06-20,2679.79,2727.95,2679.79,2684.41,1289.0159248516
2012-06-21,2684.41,2713.31,2676.46,2681.47,129.43645386477
2012-06-22,2640.01,2721.25,2639.59,2664.72,220.36288839787
2012-06-25,2678.12,2681.47,2678.12,2681.47,20.324732425046
2012-06-26,2679.79,2680.65,2679.79,2679.79,32.091682776389
2012-06-27,2947.78,2947.78,2679.79,2738.42,869.68460324014
2012-06-28,2742.6,2763.12,2702.83,2702.83,114.46033523579
2012-06-29,2762.71,2762.71,2713.71,2713.71,52.416415201435
2012-07-02,2838.92,2855.66,2765.22,2838.92,1343.5717855715
2012-07-03,2838.92,2889.16,2784.9,2784.9,562.67417134602
2012-07-04,2791.59,2847.28,2791.59,2847.28,272.77930359931
2012-07-05,2880.77,2889.16,2813.79,2838.92,395.7974209088
2012-07-06,2889.16,2922.67,2838.92,2847.28,609.74197275139
2012-07-09,2847.28,2956.16,2847.28,2931.04,1586.3988519128
2012-07-10,2918.47,2944.42,2918.47,2931.04,709.22618935819
2012-07-11,2931.44,2947.78,2926.84,2931.04,439.65605403653
2012-07-12,2931.04,2931.04,2899.63,2930.62,125.15756282792
2012-07-13,2931.04,2931.04,2889.16,2931.04,123.01811730949
2012-07-16,2897.54,2930.62,2897.54,2930.62,3.2091682776389
2012-07-17,2972.91,3006.4,2931.04,3005.97,98.414493847593
2012-07-18,3006.4,3006.4,2909.67,3006.4,216.08399736102
2012-07-19,2945.27,2972.91,2865.71,2865.71,111.25116695815
2012-07-20,2855.66,2911.35,2848.53,2864.03,393.65797539037
2012-07-23,2847.28,2847.28,2847.28,2847.28,5.3486137960648
2012-07-24,2846.03,2846.44,2813.79,2830.53,28.88251449875
2012-07-25,2721.68,2794.94,2679.79,2721.68,40.649464850093
2012-07-26,2642.53,2721.68,2642.53,2708.27,144.41257249375
2012-07-27,2700.75,2919.31,2664.72,2919.31,292.03431326514
2012-07-30,2772.75,2847.28,2769.41,2847.28,448.21383611023
2012-07-31,2847.28,2847.28,2791.19,2838.92,614.02086378824
2012-08-01,2776.11,2805.4,2765.22,2805.4,59.904474515926
2012-08-02,2768.56,2819.24,2768.56,2805.4,64.183365552778
2012-08-03,2788.65,2843.1,2771.92,2776.11,29.952237257963
2012-08-06,2776.5,2784.48,2682.32,2721.68,654.67032863833
2012-08-07,2721.68,2721.68,2671.85,2680.23,601.18419067769
2012-08-08,2667.25,2671.42,2663.05,2667.25,212.87482908338
2012-08-09,2646.71,2742.6,2646.71,2738.42,418.26159885227
2012-08-10,2778.59,2794.11,2688.18,2745.11,248.17568013741
2012-08-13,2794.52,2846.86,2762.7,2846.86,419.33132161148
2012-08-14,2879.94,2920.98,2874.92,2920.98,284.54625395065
2012-08-16,2920.98,2920.98,2909.24,2909.24,13.906395869769
2012-08-17,2905.89,2905.89,2772.75,2772.75,241.75734358213
2012-08-20,2780.3,2830.53,2780.3,2794.52,52.416415201435
2012-08-21,2807.08,2847.28,2807.08,2838.92,63.113642793565
2012-08-22,2859.84,2864.03,2813.79,2817.98,148.6914635306
2012-08-23,2771.92,2801.21,2771.92,2792.85,18.18528690662
2012-08-24,2780.3,2783.64,2764.39,2781.13,150.83090904903
2012-08-27,2736.75,2817.15,2736.75,2785.31,29.952237257963
2012-08-28,2789.51,2846.86,2789.51,2789.51,6.4183365552778
2012-08-29,2777.79,2794.94,2663.05,2663.05,668.5767245081
2012-08-30,2689.02,2689.02,2512.33,2521.1,1970.4293224703
2012-08-31,2437.77,2597.32,2437.77,2596.05,3403.8578198156
2012-09-03,2595.63,2745.94,2595.63,2715.45,2222.8838936445
2012-09-04,2691.38,2708.14,2662.63,2708.14,463.18995473921
2012-09-05,2708.14,2745.06,2708.14,2728.75,618.29975482509
2012-09-06,2745.94,2756.26,2712.44,2745.06,33.161405535602
2012-09-07,2764.83,2778.56,2746.8,2774.27,312.35904569019
2012-09-10,2767.82,2816.36,2748.52,2748.52,25.673346221111
2012-09-11,2765.69,2765.69,2727.03,2727.03,151.90063180824
2012-09-12,2744.21,2748.52,2679.79,2744.21,4343.0744024046
2012-09-13,2764.83,2791.46,2715,2791.46,1678.3950092051
2012-09-14,2791.46,2848.14,2791.46,2817.23,2471.0595737819
2012-09-17,2808.64,2833.55,2791.46,2809.48,200.03815597282
2012-09-18,2832.68,2834.4,2803.48,2817.23,129.43645386477
2012-09-19,2839.13,2860.16,2839.13,2860.16,2836.9047574328
2012-09-20,2842.98,2877.34,2842.98,2877.34,1290.0856476108
2012-09-21,2894.51,2894.51,2864.03,2894.09,1643.0941581511
2012-09-24,2920.29,2920.29,2894.51,2911.7,1108.2327785446
2012-09-25,2894.51,2911.7,2894.51,2911.28,1165.9978075421
2012-09-26,2952.05,2952.05,2898.83,2920.29,2682.8646801061
2012-09-27,2934.9,2934.9,2903.13,2919.85,2626.1693738678
2012-09-28,2911.7,2920.29,2904.82,2920.29,826.89569287162
2012-10-01,2911.7,2920.29,2911.7,2920.29,663.22811071204
2012-10-02,2920.29,2928.88,2920.29,2920.29,1679.4647319644
2012-10-03,2963.24,3014.77,2954.64,3014.77,2061.3557570034
2012-10-04,3019.07,3023.37,2980.41,2980.41,64.183365552778
2012-10-05,3026.79,3082.62,3005.33,3082.62,461.05050922079
2012-10-08,3082.62,3082.62,3029.37,3078.76,682.48312037787
2012-10-09,3090.36,3238.09,3090.36,3238.09,2868.9964402092
2012-10-10,3263.87,3289.63,3262.13,3289.63,329.47460983759
2012-10-11,3289.63,3348.04,3265.57,3276.74,904.98545429417
2012-10-12,3341.15,3341.15,3281.03,3281.03,83.438375218611
2012-10-15,3336.87,3349.75,3272.03,3348.04,1326.4562214241
2012-10-16,3418.47,3470,3401.28,3435.63,4354.841352756
2012-10-17,3452.81,3452.81,3435.63,3448.53,2441.107336524
2012-10-18,3435.63,3519.83,3435.63,3448.53,697.45923900685
2012-10-19,3470,3470,3249.26,3249.26,868.61488048093
2012-10-22,3271.58,3391.84,3254.41,3319.69,485.65413268269
2012-10-23,3388.39,3430.92,3336.44,3387.54,90.926434533102
2012-10-24,3452.81,3452.81,3272.86,3433.93,858.98737564801
2012-10-25,3352.31,3366.94,3350.61,3350.61,121.94839455028
2012-10-26,3442.51,3442.51,3324.41,3349.75,1356.408458682
2012-10-29,3418.02,3418.02,3341.15,3405.14,11.766950351343
2012-10-30,3337.29,3395.71,3336.87,3395.71,4.2788910368519
2012-10-31,3351.45,3384.1,3351.45,3384.1,71.671424867268
2012-11-02,3366.94,3383.25,3323.99,3349.75,227.85094771236
2012-11-05,3350.18,3368.2,3289.63,3292.22,152.97035456745
2012-11-06,3230.35,3325.7,3230.35,3325.7,43.858633127731
2012-11-07,3276.74,3322.69,3274.6,3304.66,360.49656985477
2012-11-08,3307.24,3370.35,3306.8,3370.35,41.719187609306
2012-11-09,3373.82,3434.35,3321.4,3350.18,1555.3768918956
2012-11-12,3350.18,3350.61,3281.89,3328.28,325.19571880074
2012-11-13,3328.28,3349.75,3306.8,3306.8,26.743068980324
2012-11-14,3308.51,3375.52,3284.47,3375.52,23.533900702685
2012-11-15,3374.66,3436.07,3323.99,3361.77,756.29399076356
2012-11-16,3351.91,3351.91,3351.91,3351.91,8.5577820737037
2012-11-19,3409.87,3435.63,3409.87,3435.63,163.66758215958
2012-11-20,3435.63,3478.58,3403.85,3478.58,1604.5841388194
2012-11-21,3478.58,3478.58,3435.63,3447.66,714.57480315426
2012-11-22,3477.71,3521.52,3452.81,3504.36,1565.0043967286
2012-11-23,3487.61,3487.61,3487.61,3487.61,4.2788910368519
2012-11-26,3578.23,3603.13,3531.41,3531.41,369.05435192847
2012-11-27,3597.12,3693.31,3597.12,3692.44,310.21960017176
2012-11-28,3912.32,3912.32,3736.25,3736.25,286.68569946907
2012-11-29,3753.43,3753.43,3719.1,3719.1,126.22728558713
2012-11-30,3651.22,3735.4,3616.43,3735.4,282.40680843222
2012-12-03,3727.66,3743.55,3693.73,3693.73,578.72001273421
2012-12-04,3727.25,3762.02,3727.25,3735.4,1180.9739261711
2012-12-05,3839.74,3843.61,3747.43,3779.2,353.00851054028
2012-12-06,3822.15,3822.15,3744.85,3744.85,44.928355886944
2012-12-07,3741.39,3744.85,3727.66,3741.39,50.276969683009
2012-12-10,3779.2,3865.09,3702.33,3779.2,185.06203734384
2012-12-11,3779.2,3864.66,3779.2,3806.27,23.533900702685
2012-12-12,3859.95,4034.28,3805.84,3950.12,1707.2775237039
2012-12-13,3949.27,3951,3917.05,3951,34.231128294815
2012-12-14,4014.53,4015.41,3952.7,3972.45,455.70189542472
2012-12-17,3972.45,3976.75,3918.79,3951,42.788910368519
2012-12-18,4036.87,4062.65,4002.52,4036.87,502.76969683009
2012-12-19,4058.35,4139.94,4006.82,4122.76,1951.1743128044
2012-12-20,4139.94,4187.18,4122.76,4122.76,353.00851054028
2012-12-21,4122.76,4200.05,3993.92,4036.44,682.48312037787
2012-12-27,4078.95,4078.95,3951,3951,1310.4103800359
2012-12-28,3949.27,3951,3821.29,3908.05,400.07631194565
2013-01-02,3827.3,3993.92,3779.64,3784.37,339.10211467051
2013-01-03,3856.5,3881.41,3792.94,3865.09,448.21383611023
